,Domain,BF,FC,MBFC,MBFC factual,PF,WI,Site Rank,✓s,Wiki,Name
539,profam.org,,,FN,L,,,8988247,,,International Organization for the Family (IOF)
540,progressivestoday.com,,,FN,L,,,20000000,,,Progressives Today
541,projectveritas.com,,,FN,M,,,331982,,,Project Veritas
542,prophecynewswatch.com,,,CP,L,,,236817,,,Prophecy News Watch
543,prophecytoday.com,,,CP,L,,,1021648,,,Prophecy Today
544,propornot.com,,,CP,M,,,2048899,,W,Prop or Not
545,protothema.gr,,,FN,M,,,1301,,W,Proto Thema
546,protrumpnews.com,,,FN,L,,,218607,,,Pro Trump News
547,qanon.pub,,,CP,VL,,,44694,,,QAnon.pub
548,quillette.com,,,FN,M,,,26446,,W,Quillette
549,randpaul.news,,,CP,VL,,,20000000,,,RandPaul.News
550,rapturenewsnetwork.com,,,CP,L,,,4761272,,,Rapture News Network
551,rawconservativeopinions.com,,,FN,M,,,106672,,,Raw Conservative Opinions
552,realclimatescience.com,,,CP,L,,,299724,,,Real Climate Science
553,realfarmacy.com,,,CP,L,,,85569,,,RealFarmacy
554,realjewnews.com,,,CP,L,,,432297,,,Real Jew News
555,realnews24.com,,,CP,L,,,2902001,,,Real News 24
556,realnewsrightnow.com,1,1,S,,parody,,1351510,,,Real News Right Now
557,realrawnews.com,,,FN,VL,,,151997,,,Real Raw News
558,rearfront.com,,,,,fake-news,,67808,,,RearFront
559,redbluedivide.com,,,FN,M,,,4013083,,,Red Blue Divide
560,redice.tv,,,FN,L,,,172575,,W,Red Ice TV
561,redorbit.com,,,FN,M,,,152645,,,Red Orbit
562,redoubtnews.com,,,CP,M,,,1890064,,,Redoubt News
563,redstate.com,,,FN,M,,,26717,,,RedState
564,redstatewatcher.com,,,FN,L,,,87773,,,Red State Watcher
565,redwhiteandright.com,,,FN,L,,,8531849,,,"Red, White and Right"
566,remnantnewspaper.com,,,FN,L,,,369830,,W,The Remnant Newspaper
567,renewamerica.com,,,FN,L,,,493605,,W,Renew America
568,rense.com,,,CP,VL,,,40996,,W,Rense
569,researchantisemitism.ca,,,FN,L,,,20000000,,,Center for Research of Radicalism and National Security
570,responsibletechnology.org,,,CP,M,,,386678,,,Institute for Responsible Technology
571,returnofkings.com,,,FN,L,,,27269,,,Return of Kings
572,returntonow.net,,,CP,L,,,73190,,,Return to Now
573,revolutionradio.org,,,CP,L,,,2550078,,,Revolution Radio
574,revolver.news,,,FN,M,,,31224,,,Revolver.News
575,righterway.com,,,FN,L,,,20000000,,,Righter Way
576,rightsidenews.com,,,FN,L,,,1164585,,,Right Side News
577,rightsmarts.com,,,FN,M,,,4231707,,,Right Smarts
578,rightwing.news,,,FN,L,,,2311878,,,Right Wing News (rightwing.news)
579,rightwingnews.com,,,FN,L,,,385679,,,Right Side News
580,rightwingtribune.com,,1,FN,L,,,320218,,,Right Wing Tribune
581,rinf.com,,,FN,L,,,1537065,,W,RINF
582,riverregiontimes.com,,,FN,M,,,20000000,,,River Region Times
583,rogue-nation3.com,,,,,fake-news,,5808163,,,Rogue Nation
584,rt.com,,,FN,VL,,,294,,W,RT News
585,rudaw.net,,,FN,M,,,4448,,W,Rudaw
586,rumble.com,,,FN,L,,,1304,,W,Rumble
587,ruptly.tv,,,FN,M,,,52641,,W,Ruptly
588,rushlimbaugh.com,,,FN,VL,,,31084,,W,The Rush Limbaugh Show
589,russia-insider.com,,,FN,L,,,22909,,W,Russia Insider
590,ruthinstitute.org,,,FN,M,,,2516823,,W,Ruth Institute
591,sanevax.org,,,CP,L,,,1527914,,,SaneVax
592,savethemales.ca,,,CP,L,,,857663,,,Henry Makow (savethemales.ca)
593,science.news,,,CP,VL,,,2584116,,,Science.News
594,sciencetimes.com,,,FN,M,,,67073,,,The Science Times
595,sciencevibe.com,,,CP,M,,,270173,,,Science Vibe
596,scrapetv.com,1,,,,,,8365247,,,ScrapeTV
597,secondamendmentdaily.com,,,FN,L,,,402550,,,2nd Amendment Daily News
598,secureamericanow.org,,,FN,M,,,2069947,,W,Secure America Now
599,sgtreport.com,,,CP,L,,,81343,,,SGT Report
600,sheepkillers.com,,,CP,L,,,20000000,,,Sheep Killers
601,shoalstoday.com,,,FN,M,,,5741535,,,Shoals Today
602,shoebat.com,,,CP,L,,,234007,,W,Shoebat
603,shtfplan.com,,,FN,M,,,71239,,,SHTFplan.com
604,sickchirpse.com,,,FN,VL,,,184898,,,Sick Chirpse
605,skeptiko.com,,,CP,VL,,,574910,,,Skeptiko
606,smag31.com,,,,,some-fake,,1960449,,,Smag
607,smobserved.com,,,FN,L,,,974694,,,Santa Monica Observer
608,snopes.news,,,CP,VL,,,20000000,,,Snopes News
609,sohu.com,,,FN,M,,,7,,W,"Sohu,com"
610,sonsof1776.com,,,FN,L,,,1031627,,,Sons of 1776
611,sott.net,,,CP,L,,,24484,,,Signs of the Times
612,southafricatoday.net,,,FN,M,,,151504,,,South Africa Today
613,southfront.org,,,CP,L,,,37014,,,South Front
614,space.news,,,CP,M,,,4584279,,W,Space.News
615,sputniknews.com,,,FN,VL,,,630,,W,Sputnik
616,squawker.org,,,FN,L,,,4140731,,,Squawker
617,staresattheworld.com,,,FN,L,,,2208490,,,Stares at the World
618,stateofthenation.co,,,FN,L,,,20000000,,,State of the Nation
619,stateofthenation2012.com,,,FN,L,,,108514,,,State of the Nation 2012
620,steadfastandloyal.com,,,FN,L,,,318774,,,Steadfast and Loyal
621,stfnreport.com,,,FN,M,,,20000000,,,Stranger than Fiction News
622,stgeorgegazette.com,,1,S,,fake-news,1,19566617,,W,St. George Gazette
623,stillnessinthestorm.com,,,CP,L,some-fake,,84068,,,Stillness in the Storm
624,stonecoldtruth.com,,,FN,L,,,375390,,,Stone Cold Truth
625,stormcloudsgathering.com,,,CP,L,,,1295672,,,Storm Clouds Gathering
626,stormfront.org,,,CP,VL,,,53395,,W,Stormfront
627,straightstoned.com,1,,,,,,16718003,,,Straight Stoned
628,strategic-culture.org,,,FN,VL,,,138978,,,Strategic Culture Foundation
629,stream.org,,,CP,M,,,112819,,,The Stream
630,stuppid.com,1,1,S,,,1,905939,,W,Stuppid
631,summit.news,,,FN,L,,,50818,,,Summit News
632,sundaypost.org,1,,,,,,2927381,,,SunDayPost
633,superstation95.com,1,,,,,1,9091864,,,Super Station 95
634,supplementreference.com,,,CP,VL,,,5487696,,,SupplementReference.com
635,survivalblog.com,,,FN,L,,,133874,,W,SurvivalBlog.com
636,sustainablepulse.com,,,CP,L,,,585841,,,Sustainable Pulse
637,swampdrain.com,,,FN,L,,,1175192,,,SwampDrain.com
638,swarajyamag.com,,,FN,L,,,18044,,W,Swarajya
639,swprs.org,,,CP,M,,,20000000,,W,Swiss Policy Research
640,syrianews.cc,,,FN,L,,,878865,,,Syria News
641,takimag.com,,,FN,L,,,70587,,W,Taki's Magazine
642,talknetwork.com,,,CP,VL,,,20000000,,,TalkNetwork.com
643,tasnimnews.com,,,FN,M,,,1458,,W,Tasnim News Agency
644,tass.com,,,FN,M,,,23577,,W,TASS Russian News Agency
645,tbdailynews.com,,,FN,M,,,141718,,,TB Daily News
646,teaparty.org,,,FN,L,some-fake,,69876,,,Tea Party Inc.
647,teapartypatriots.org,,,FN,M,,,834488,,W,Tea Party Patriots
648,technocracy.news,,,CP,VL,,,163980,,,Technocracy News
649,techstartups.com,,,FN,M,,,49914,,,Tech Startups
650,tehrantimes.com,,,FN,M,,,40821,,W,The Tehran Times
651,tfp.org,,,FN,L,,,535195,,W,"American Society for the Defense of Tradition, Family, and Property"
652,the-postillon.com,,1,S,,parody,,812751,,,The Postillion
653,theamericanmirror.com,,,FN,L,,,41184,,,The American Mirror
654,theantimedia.com,,,CP,M,,,556119,,,The Anti-Media
655,thebeardedpatriot.com,,,FN,L,,,690029,,,The Bearded Patriot
656,thebeltwayreport.com,,,FN,M,,,412614,,,The Beltway Report
657,thebigriddle.com,,,,,some-fake,,5451790,,,The Big Riddle
658,thebl.com,,,FN,M,,,340971,,,TheBL
659,theblacksphere.net,,,FN,M,,,262204,,,The Blacksphere
660,thebreakingnews.com,,,FN,L,,,7086220,,,The Breaking News
661,thecommonsenseshow.com,,,CP,VL,,,86879,,,The Common Sense Show
662,theconservativebrief.com,,,FN,M,,,470471,,,The Conservative Brief
663,theconservativecentral.com,,,FN,L,,,4442184,,,The Conservative Central
664,theconservativetreehouse.com,,1,FN,L,some-fake,,20132,,,The Last Refuge
665,thedailybell.com,,,FN,L,,,552145,,,The Daily Bell
666,thedailyconspiracy.com,,,CP,L,,,561490,,,The Daily Conspiracy
667,thedailysheeple.com,,,CP,L,,,106904,,,The Daily Sheeple
668,thedcpatriot.com,,,FN,L,,,20000000,,,The DC Patriot
669,theduran.com,,,FN,L,,,52229,,,The Duran
670,theepochtimes.com,,,FN,M,,,456,,,The Epoch Times
671,thefakenewsgenerator.com,1,,,,,,715604,,,The Fake News Generator
672,thefederalistpapers.org,,,FN,L,,,138049,,,The Federalist Papers Project
673,theforbiddenknowledge.com,,,CP,L,,,4664670,,,The Forbidden Knowledge
674,thefreedomtimes.com,,,FN,L,,,1178635,,,The Freedom Times
675,thefreethoughtproject.com,,,CP,L,,,37928,,,Free Thought Project
676,thefullertoninformer.com,,,CP,VL,,,241178,,,The Fullerton Informer
677,thegatewaypundit.com,,,FN,L,some-fake,1,7661,,W,The Gateway Pundit
678,thegoldwater.com,,,FN,L,,,357615,,,The Goldwater
679,thehealthyamerican.org,,,CP,VL,,,316856,,,The Healthy American
680,theheartysoul.com,,,CP,M,,,55938,,W,The Hearty Soul
681,thehighwire.com,,,CP,L,,,331493,,,The Highwire
682,thehornnews.com,,,FN,L,,,78597,,,The Horn
683,thelastlineofdefense.online,,,#N/A,#N/A,#N/A,,,#N/A,,#N/A
684,thelastlineofdefense.org,1,1,S,,parody,,1990739,,,The Last Line of Defense
685,thelaughclub.net,,,FN,L,,,719565,,,The Laugh Club
686,thelibertybeacon.com,,,CP,L,,,481121,,,The Liberty Beacon
687,thelibertydaily.com,,,FN,M,,,28147,,,The Liberty Daily
688,themillenniumreport.com,,,FN,L,,,141466,,,The Millennium Report
689,themindunleashed.com,,,CP,L,,,55312,,,The Mind Unleashed
690,thenational.ae,,,FN,M,,,12882,,,The National (UAE)
691,thenationalmarijuananews.com,,,,,some-fake,,431920,,,TNM News
692,thenationalpatriot.com,,,FN,L,,,5285941,,,The National Patriot
693,thenationalpulse.com,,,FN,M,,,5208990,,,The National Pulse
694,thenet24h.com,,,,,fake-news,,902202,,,TheNet24h
695,thenewsnerd.com,1,,S,,,1,5389954,,W,The News Nerd
696,thenochill.com,1,,,,,,4036393,,,TheNoChill
697,thepoliticalinsider.com,,,FN,L,some-fake,,54712,,,Political Insider
698,theproudliberal.org,,,FN,M,,,19229418,,,The Proud Liberal
699,thepublicdiscourse.com,,,FN,L,,,231465,,W,Witherspoon Institute
700,theracketreport.com,1,,S,,fake-news,,16400069,,W,The Racket Report
701,thereisnews.com,1,,S,,,,155021,,,There is News
702,thereligionofpeace.com,,,FN,L,,,208662,,,The Religion of Peace
703,therightstuff.biz,,,FN,VL,,,36434,,,The Right Stuff
704,therooster.com,,,,,some-fake,,172709,,,Rooster Magazine
705,therundownlive.com,,,CP,L,,,7394713,,,The Rundown Live
706,thesmokersclub.com,,,,,some-fake,,1061377,,,The Smokers Club
707,thesolexchange.com,,,,,some-fake,,16637687,,,The SoleXchange
708,thespectator.info,,,FN,VL,,,1515768,,,TheSpectator.info
709,thetrumpet.com,,,CP,M,,,73966,,,The Trumpet
710,thetruthaboutcancer.com,,,CP,L,,,48603,,,The Truth about Cancer
711,thetruthseeker.co.uk,,,CP,L,,,75766,,,The Truth Seeker
712,theunionjournal.com,,,FN,L,,,92758,,,The Union Journal
713,thevalleyreport.com,1,,,,,,1755492,,,The Valley Report
714,thewashingtonstandard.com,,,FN,L,,,81447,,,The Washington Standard
715,thieme.de,,,CP,M,,,36823,,,Homeopathy Journal
716,thinkamericana.com,,,FN,L,,,331448,,,Think Americana
717,thinkinghumanity.com,,,CP,L,,,121377,,,Thinking Humanity
718,thinkingmomsrevolution.com,,,CP,L,,,761315,,,Thinking Mom's Revolution
719,thoughtcatalog.com,,,CP,M,,,5888,,,Thought Catalog
720,thoughtcrimeradio.net,,,CP,L,,,3286305,,,Thought Crime Radio
721,thrivemovement.com,,,CP,L,,,372738,,,Thrive Movement
722,timesofcambodia.com,1,,,,,,20000000,,,Glücksspiel Deutschland
723,tmzworldnews.com,1,,,,fake-news,,1985666,,,TMZ World News
724,toddstarnes.com,,,FN,M,,,132361,,,Todd Starnes
725,toofab.com,,,FN,M,,,10862,,,TooFab
726,torontotoday.net,,,FN,L,,,315206,,,Toronto Today
727,toutelinfo.fr,1,,,,,,6960378,,,Raconte l'actualité du jour
728,townhall.com,,,FN,M,,,7249,,,Townhall
729,tplnews.com,,,FN,M,,,9948039,,,TPL News
730,tpusa.com,,,FN,L,,,506498,,W,Turning Point USA
731,treason.news,,,CP,VL,,,1580032,,,Treason News
732,trendingpolitics.com,,,FN,M,,,37652,,,Trending Politics
733,triggerreset.net,,,FN,L,,,7474885,,,Trigger Reset
734,trueactivist.com,,,FN,L,,,178800,,,Center for Immigration Studies
735,truepundit.com,,,CP,L,,,22078,,,True Pundit
736,trueviralnews.com,,,FN,L,,,1045548,,,True Viral News
737,trump.news,,,FN,L,,,2667495,,W,Trump.News
738,trumptrainnews.com,,,FN,M,,,137086,,,Trump Train News
739,trunews.com,,,CP,L,,,224850,,W,TruNews
740,truthandaction.org,,,FN,L,,,455179,,,Truth and Action
741,truthinmedia.com,,,FN,L,,,706903,,W,Truth in Media
742,truthmonitor.com,,,FN,L,,,8419364,,,Truth Monitor
743,truthuncensored.net,,,FN,L,,,1891616,,,Truth Uncensored
744,twisted.news,,,CP,VL,,,20000000,,W,Twisted News
745,ukcolumn.org,,,CP,L,,,267164,,,UK Column
746,unclesamsmisguidedchildren.com,,,FN,L,,,242476,,,Uncle Sam's Misguided Children
747,understandingthethreat.com,,,FN,L,,,1957091,,,Understanding the threat
748,uniteamericafirst.com,,,FN,L,,,287133,,,Unite America First
749,unitedmediapublishing.com,1,,,,,1,9092001,,W,United Media Publishing
750,unz.com,,,FN,L,,,29291,,W,The Unz Review
751,uokhun.uk,1,,,,,,362930,,,U OK Hun?
752,us24news.com,,,FN,L,,,1016124,,,24 News
753,usahitman.com,,,CP,L,,,684861,,,USA Hitman
754,usaisonline.com,,,FN,VL,,,20000000,,,USA is Online
755,usanewshome.com,,,,,fake-news,,17241190,,,USA News Home
756,usanewstoday.com,,,,,fake-news,,14589337,,,USANewsToday.com
757,usapoliticstoday.com,,1,R,M,fake-news,,3186420,,,USA Politics Today
758,usareally.com,,,FN,VL,,,1258926,,,USA Really
759,usasupreme.com,,,FN,VL,fake-news,,9648203,,,USA Supreme
760,usawatchdog.com,,,CP,L,,,145796,,,USAWatchdog.com
761,usbacklash.org,,,FN,VL,,,5982172,,,US Backlash
762,uschronicle.com,,,FN,L,,,451052,,,US Chronicle
763,uslibertywire.com,,,FN,L,,,606948,,,US Liberty Wire
764,uspoln.com,1,,S,,fake-news,,10887937,,,USPOLN
765,ussanews.com,,1,FN,M,,,101190,,,USSA News
766,vaccineimpact.com,,,CP,L,,,162777,,,Vaccine Impact
767,vaccines.news,,,CP,VL,,,718243,,W,Vaccine News
768,vaccinesrevealed.com,,,CP,L,,,288363,,,Vaccines Revealed
769,vactruth.com,,,CP,L,,,1191591,,,VacTruth.com
770,vaxxter.com,,,CP,L,,,256533,,,Vaxxter
771,vdare.com,,,FN,L,,,109719,,W,Vdare
772,veteransfordonaldtrump.com,,,,,fake-news,,2440043,,,Vets for Trump
773,veteranstoday.com,,,CP,VL,,,36989,,,Veterans Today
774,vidmax.com,,,FN,L,,,44301,,,Vidmax
775,vigilantcitizen.com,,,CP,L,,,62302,,,Vigilant Citizen
776,viralcocaine.com,,,FN,L,,,1980136,,,Viral Cocaine
777,viralhatch.com,,,FN,L,,,859520,,,Viral Hatch
778,viralnewsnetwork.net,,,CP,L,,,9419055,,,Viral News Network
779,votefraud.news,,,CP,VL,,,1408130,,,Vote Fraud News
780,wakeup-world.com,,,CP,L,,,119968,,,Wake Up World
781,wakingtimes.com,,,CP,L,,,91606,,,The Waking Times
782,wallbuilders.com,,,FN,L,,,644079,,W,WallBuilders
783,washingtontimes.com,,,FN,M,,,7355,,W,Washington Times
784,wattsupwiththat.com,,,CP,L,,,43516,,W,Watts Up with that
785,waynedupree.com,,,FN,L,,,5122,,,WayneDupree.com
786,wcpm3.com,1,,,,,,8489928,,,WCPM 3 News
787,wearechange.org,,,CP,M,,,487963,,,We are Change
788,westonaprice.org,,,CP,L,,,205392,,W,Weston A. Price Foundation
789,wethepeopledaily.com,,,FN,M,,,735492,,,We The People Daily
790,whale.to,,,CP,L,,,149513,,,Whale.to
791,whatreallyhappened.com,,,CP,M,,,45622,,,What Really Happened
792,whatstheharm.net,,,FN,M,,,3824952,,W,What's the Harm
793,whitehouse.news,,,CP,VL,,,1857487,,,WhiteHouse.News
794,whydontyoutrythis.com,,,CP,L,some-fake,,211779,,,Why Don't You Try This
795,wikiislam.net,,,FN,M,,,173357,,W,WikiIslam
796,wikispooks.com,,,CP,M,,,202613,,,Wikispooks
797,wittheshit.com,1,,,,,,5006142,,,Wittheshit
798,wnd.com,,,FN,L,,,6067,,W,World Net Daily
799,wokesloth.com,,,FN,M,,,299029,,,Woke Sloth
800,womenarehuman.com,,,FN,M,,,695862,,,Women are Human
801,worldaffairsbrief.com,,,CP,VL,,,1750897,,W,World Affairs Brief
802,worlddoctorsalliance.com,,,CP,VL,,,581498,,,World Doctors Alliance
803,worldhealth.net,,,CP,L,,,260256,,,WorldHealth.Net
804,worldnewsdailyreport.com,1,1,S,,parody,1,55491,,W,World News Daily Report
805,worldstarhiphop.com,,,FN,M,,,1997,,W,WorldStarHipHop
806,worldtruth.tv,,,CP,VL,fake-news,1,160990,,W,World Truth TV
807,wtoe5news.com,1,,,,,,7780912,,,WTOE 5NEWS
808,www1.cbn.com,,,CP,M,,,15782,,W,Christian Broadcasting Network
809,x22report.com,,,CP,L,,,172647,,,X22 Report
810,yc.news,,,FN,M,,,588428,,,YourContent
811,yesimright.com,,,FN,L,,,1510426,,,Yes I'm Right
812,zenith.news,,,FN,L,,,1350732,,,Zenith News
813,zerohedge.com,,,CP,L,,,1812,,W,Zerohedge
